repo,cve,type,version
curl,CVE-2022-42915,vul,curl-7.85.0
curl,CVE-2022-43552,vul,curl-7.84.0
curl,CVE-2023-23914,pre,curl-7.76.0
curl,CVE-2023-23914,vul,curl-7.85.0
curl,CVE-2023-23914,vul,curl-7.86.0
curl,CVE-2023-23915,pre,curl-7.76.0
curl,CVE-2023-23915,vul,curl-7.85.0
curl,CVE-2023-23915,vul,curl-7.86.0
curl,CVE-2023-28319,vul,curl-7.85.0
curl,CVE-2023-28320,vul,curl-7.66.0
curl,CVE-2023-28321,vul,curl-7.84.0
curl,CVE-2023-38039,vul,curl-7.88.0
curl,CVE-2024-2466,vul,curl-8.5.0
curl,CVE-2024-2466,vul,curl-8.6.0
curl,CVE-2024-8096,vul,curl-7.87.0
httpd,CVE-2020-11985,vul,2.4.20
httpd,CVE-2021-33193,fix,2.4.58
httpd,CVE-2021-33193,pre,2.2.30
httpd,CVE-2021-33193,vul,2.4.40
httpd,CVE-2021-33193,vul,2.4.43
httpd,CVE-2022-31813,vul,2.4.51
linux,CVE-2020-0041,fix,v6.17
linux,CVE-2020-0041,pre,v4.20
linux,CVE-2020-0041,vul,v5.1
linux,CVE-2020-0041,vul,v5.3
linux,CVE-2020-0404,vul,v4.10
linux,CVE-2020-0423,vul,v4.15
linux,CVE-2020-0433,vul,v4.12
linux,CVE-2020-0444,vul,v4.3
linux,CVE-2020-10690,pre,v2.6.39
linux,CVE-2020-10690,vul,v3.0
linux,CVE-2020-10690,vul,v4.9
linux,CVE-2020-10767,vul,v4.20
linux,CVE-2020-10767,vul,v5.0
linux,CVE-2020-10773,vul,v2.6.32
linux,CVE-2020-12114,vul,v4.0
linux,CVE-2020-12352,vul,v3.13
linux,CVE-2020-12352,vul,v3.6
linux,CVE-2020-12768,vul,v4.18
linux,CVE-2020-12769,vul,v3.1
linux,CVE-2020-12769,vul,v4.1
linux,CVE-2020-12771,vul,v3.15
linux,CVE-2020-12771,vul,v4.19
linux,CVE-2020-12888,vul,v3.6
linux,CVE-2020-12888,vul,v4.5
linux,CVE-2020-14305,vul,v3.6
linux,CVE-2020-14305,vul,v4.5
linux,CVE-2020-14385,vul,v5.5
linux,CVE-2020-14386,vul,v4.13
linux,CVE-2020-14386,vul,v4.6
linux,CVE-2020-15852,vul,v5.5
linux,CVE-2020-1749,vul,v4.14
linux,CVE-2020-25645,vul,v4.14
linux,CVE-2020-25656,vul,v2.6.37
linux,CVE-2020-25656,vul,v5.2
linux,CVE-2020-25668,vul,v2.6.37
linux,CVE-2020-25668,vul,v3.5
linux,CVE-2020-25669,vul,v2.6.19
linux,CVE-2020-25673,vul,v3.11
linux,CVE-2020-26088,vul,v4.2
linux,CVE-2020-27067,vul,v2.6.35
linux,CVE-2020-27067,vul,v4.9
linux,CVE-2020-27170,pre,v5.8
linux,CVE-2020-27170,vul,v5.10
linux,CVE-2020-27170,vul,v5.11
linux,CVE-2020-27418,vul,v2.6.24
linux,CVE-2020-27675,vul,v3.14
linux,CVE-2020-27675,vul,v5.4
linux,CVE-2020-28097,vul,v2.6.24
linux,CVE-2020-28374,vul,v4.9
linux,CVE-2020-35513,pre,v4.8
linux,CVE-2020-35513,vul,v4.10
linux,CVE-2020-35513,vul,v4.13
linux,CVE-2020-36784,vul,v5.8
linux,CVE-2020-36787,fix,v5.13
linux,CVE-2020-36787,vul,v5.3
linux,CVE-2020-7053,pre,v4.11
linux,CVE-2020-7053,vul,v4.14
linux,CVE-2020-7053,vul,v4.19
linux,CVE-2020-8647,vul,v2.6.24
linux,CVE-2020-8649,vul,v2.6.24
linux,CVE-2020-9383,vul,v2.6.34
linux,CVE-2020-9391,vul,v5.4
linux,CVE-2020-9391,vul,v5.5
linux,CVE-2021-0512,vul,v3.5
linux,CVE-2021-0605,vul,v4.11
linux,CVE-2021-0707,vul,v5.9
linux,CVE-2021-20261,fix,v5.8
linux,CVE-2021-20261,vul,v2.6.36
linux,CVE-2021-20321,vul,v4.16
linux,CVE-2021-22600,fix,v6.17
linux,CVE-2021-22600,vul,v5.6
linux,CVE-2021-22600,vul,v5.9
linux,CVE-2021-26708,vul,v5.5
linux,CVE-2021-26708,vul,v5.9
linux,CVE-2021-27363,vul,v3.3
linux,CVE-2021-27364,vul,v3.3
linux,CVE-2021-28691,vul,v5.10
linux,CVE-2021-28691,vul,v5.5
linux,CVE-2021-28713,vul,v3.18
linux,CVE-2021-28951,vul,v5.10
linux,CVE-2021-28951,vul,v5.11
linux,CVE-2021-29264,vul,v4.16
linux,CVE-2021-32606,vul,v5.12
linux,CVE-2021-33098,vul,v4.7
linux,CVE-2021-3347,vul,v5.3
linux,CVE-2021-33656,vul,v3.5
linux,CVE-2021-3411,vul,v5.8
linux,CVE-2021-34866,vul,v5.10
linux,CVE-2021-3564,fix,v5.14
linux,CVE-2021-3640,vul,v2.6.35
linux,CVE-2021-3655,vul,v3.15
linux,CVE-2021-3679,vul,v2.6.32
linux,CVE-2021-3715,vul,v4.14
linux,CVE-2021-3732,pre,v3.12
linux,CVE-2021-3732,vul,v3.18
linux,CVE-2021-3732,vul,v4.10
linux,CVE-2021-3752,vul,v3.8
linux,CVE-2021-38206,fix,v6.9
linux,CVE-2021-38206,vul,v5.11
linux,CVE-2021-38206,vul,v5.9
linux,CVE-2021-38207,vul,v5.6
linux,CVE-2021-38207,vul,v5.7
linux,CVE-2021-39685,vul,v4.2
linux,CVE-2021-39686,fix,v6.17
linux,CVE-2021-39686,fix,v6.8
linux,CVE-2021-39686,vul,v5.0
linux,CVE-2021-4083,vul,v5.11
linux,CVE-2021-4095,vul,v5.12
linux,CVE-2021-4095,vul,v5.15
linux,CVE-2021-4203,vul,v2.6.36
linux,CVE-2021-4203,vul,v4.10
linux,CVE-2021-42327,vul,v5.13
linux,CVE-2021-45095,vul,v4.2
linux,CVE-2021-45402,vul,v5.10
linux,CVE-2021-45469,fix,v6.7
linux,CVE-2021-45868,vul,v2.6.36
linux,CVE-2021-46915,vul,v4.17
linux,CVE-2021-46932,fix,v6.11
linux,CVE-2021-46933,vul,v4.1
linux,CVE-2021-46935,vul,v4.14
linux,CVE-2021-46935,vul,v4.15
linux,CVE-2021-46972,vul,v5.10
linux,CVE-2021-46972,vul,v5.8
linux,CVE-2021-46978,vul,v5.11
linux,CVE-2021-46978,vul,v5.12
linux,CVE-2021-46982,vul,v5.8
linux,CVE-2021-46994,vul,v5.10
linux,CVE-2021-46994,vul,v5.5
linux,CVE-2021-46997,vul,v5.10
linux,CVE-2021-46997,vul,v5.12
linux,CVE-2021-46998,pre,v4.11
linux,CVE-2021-46998,vul,v4.16
linux,CVE-2021-46998,vul,v5.2
linux,CVE-2021-47004,vul,v4.20
linux,CVE-2021-47004,vul,v5.4
linux,CVE-2021-47007,vul,v5.11
linux,CVE-2021-47010,vul,v5.6
linux,CVE-2021-47013,vul,v4.9
linux,CVE-2021-47013,vul,v5.8
linux,CVE-2021-47014,vul,v5.9
linux,CVE-2021-47016,vul,v5.11
