repo,cve,type,version
FFmpeg,CVE-2020-22044,vul,n2.8.1
FFmpeg,CVE-2020-22054,vul,n3.4.4
FFmpeg,CVE-2020-22054,vul,n4.2.2
linux,CVE-2020-24586,vul,v2.6.24
linux,CVE-2020-24586,vul,v3.12
linux,CVE-2020-25285,vul,v2.6.27
linux,CVE-2020-25285,vul,v3.8
linux,CVE-2020-25645,vul,v4.3
linux,CVE-2020-25645,vul,v4.14
linux,CVE-2020-25656,vul,v2.6.37
linux,CVE-2020-25656,vul,v5.2
ImageMagick,CVE-2020-25665,vul,7.0.7-39
ImageMagick,CVE-2020-25665,vul,7.0.7-4
linux,CVE-2020-25668,vul,v2.6.37
linux,CVE-2020-25668,vul,v3.5
linux,CVE-2020-25669,vul,v2.6.12
linux,CVE-2020-25669,vul,v2.6.19
linux,CVE-2020-25673,vul,v3.11
linux,CVE-2020-25673,vul,v4.13
ImageMagick,CVE-2020-25675,vul,7.0.7-39
ImageMagick,CVE-2020-25675,vul,7.0.8-43
wireshark,CVE-2020-25862,vul,v2.9.0
wireshark,CVE-2020-25862,vul,v2.4.0
wireshark,CVE-2020-25863,vul,v2.9.0
wireshark,CVE-2020-25866,vul,v3.2.4
linux,CVE-2020-26088,vul,v3.16
linux,CVE-2020-26088,vul,v4.2
linux,CVE-2020-26139,vul,v2.6.25
linux,CVE-2020-26139,vul,v3.14
wireshark,CVE-2020-26420,vul,v3.2.7
wireshark,CVE-2020-26421,vul,v1.10.8
wireshark,CVE-2020-26421,vul,v3.0.4
linux,CVE-2020-26555,vul,v3.19
linux,CVE-2020-26555,vul,v4.13
wireshark,CVE-2020-26575,vul,v2.9.0
wireshark,CVE-2020-26575,vul,v3.2.7
linux,CVE-2020-27066,vul,v2.6.35
linux,CVE-2020-27066,vul,v3.12
linux,CVE-2020-27067,vul,v2.6.35
linux,CVE-2020-27067,vul,v4.9
linux,CVE-2020-27170,pre,v5.8
linux,CVE-2020-27170,vul,v5.10
linux,CVE-2020-27170,vul,v5.11
linux,CVE-2020-27418,vul,v2.6.14
linux,CVE-2020-27418,vul,v2.6.24
ImageMagick,CVE-2020-27560,vul,7.0.7-39
ImageMagick,CVE-2020-27560,vul,7.0.7-17
linux,CVE-2020-27675,vul,v3.14
linux,CVE-2020-27675,vul,v5.4
ImageMagick,CVE-2020-27751,vul,7.0.7-39
ImageMagick,CVE-2020-27751,vul,7.0.7-17
ImageMagick,CVE-2020-27753,vul,7.0.7-39
ImageMagick,CVE-2020-27753,vul,7.0.8-4
ImageMagick,CVE-2020-27756,pre,7.0.7-1
ImageMagick,CVE-2020-27756,vul,7.0.7-39
ImageMagick,CVE-2020-27756,vul,7.0.7-23
ImageMagick,CVE-2020-27758,vul,7.0.7-39
ImageMagick,CVE-2020-27758,vul,7.0.1-9
ImageMagick,CVE-2020-27760,vul,7.0.7-39
ImageMagick,CVE-2020-27760,vul,7.0.2-10
ImageMagick,CVE-2020-27761,vul,7.0.7-39
ImageMagick,CVE-2020-27761,vul,7.0.7-4
ImageMagick,CVE-2020-27762,vul,7.0.7-39
ImageMagick,CVE-2020-27762,vul,7.0.7-23
ImageMagick,CVE-2020-27763,vul,7.0.7-39
ImageMagick,CVE-2020-27763,vul,7.0.8-19
ImageMagick,CVE-2020-27765,vul,7.0.7-39
ImageMagick,CVE-2020-27765,vul,7.0.7-4
ImageMagick,CVE-2020-27768,vul,7.0.7-39
ImageMagick,CVE-2020-27768,vul,7.0.8-60
ImageMagick,CVE-2020-27769,vul,7.0.7-39
ImageMagick,CVE-2020-27769,vul,7.0.7-17
ImageMagick,CVE-2020-27770,vul,7.0.7-39
ImageMagick,CVE-2020-27770,vul,7.0.1-2
ImageMagick,CVE-2020-27770,fix,7.0.10-54
ImageMagick,CVE-2020-27770,fix,7.1.1-41
ImageMagick,CVE-2020-27771,vul,7.0.7-39
ImageMagick,CVE-2020-27771,vul,7.0.8-55
linux,CVE-2020-27786,vul,v2.6.12
linux,CVE-2020-27786,vul,v2.6.28
linux,CVE-2020-27820,vul,v3.17
linux,CVE-2020-27820,vul,v4.20
openjpeg,CVE-2020-27823,vul,v2.1.2
openjpeg,CVE-2020-27823,vul,v2.3.0
openjpeg,CVE-2020-27842,vul,v2.3.0
openjpeg,CVE-2020-27843,vul,version.2.0
openjpeg,CVE-2020-27843,vul,v2.3.0
openjpeg,CVE-2020-27845,vul,version.2.0
openjpeg,CVE-2020-27845,vul,version.2.1
wireshark,CVE-2020-28030,vul,v3.0.2
wireshark,CVE-2020-28030,vul,v2.5.0
linux,CVE-2020-28097,vul,v2.6.24
linux,CVE-2020-28374,vul,v3.12
linux,CVE-2020-28374,vul,v4.9
linux,CVE-2020-29569,vul,v4.12
linux,CVE-2020-29569,vul,v4.13
linux,CVE-2020-29660,vul,v2.6.37
linux,CVE-2020-29660,vul,v4.5
linux,CVE-2020-35508,vul,v3.4
linux,CVE-2020-35508,vul,v4.9
linux,CVE-2020-35513,pre,v4.8
linux,CVE-2020-35513,vul,v4.10
linux,CVE-2020-35513,vul,v4.13
linux,CVE-2020-35519,vul,v2.6.12
linux,CVE-2020-35519,vul,v2.6.37
linux,CVE-2020-36312,vul,v4.11
linux,CVE-2020-36312,vul,v4.13
linux,CVE-2020-36385,vul,v2.6.25
linux,CVE-2020-36385,vul,v4.17
linux,CVE-2020-36386,vul,v2.6.14
linux,CVE-2020-36386,vul,v3.4
linux,CVE-2020-36558,vul,v2.6.37
linux,CVE-2020-36558,vul,v3.10
linux,CVE-2020-36784,vul,v4.5
linux,CVE-2020-36784,vul,v5.8
linux,CVE-2020-7053,pre,v4.11
linux,CVE-2020-7053,vul,v4.14
linux,CVE-2020-7053,vul,v4.19
curl,CVE-2020-8169,vul,curl-7_66_0
curl,CVE-2020-8169,vul,curl-7_65_1
curl,CVE-2020-8177,vul,curl-7_56_0
curl,CVE-2020-8177,vul,curl-7_40_0
curl,CVE-2020-8177,fix,curl-8_0_0
curl,CVE-2020-8177,fix,curl-8_17_0
curl,CVE-2020-8231,pre,curl-7_25_0
curl,CVE-2020-8231,vul,curl-7_56_0
curl,CVE-2020-8231,vul,curl-7_40_0
curl,CVE-2020-8284,vul,curl-7_65_3
curl,CVE-2020-8285,vul,curl-7_37_1
curl,CVE-2020-8285,vul,curl-7_50_1
curl,CVE-2020-8286,vul,curl-7_56_0
curl,CVE-2020-8286,vul,curl-7_70_0
linux,CVE-2020-8428,vul,v4.19
linux,CVE-2020-8428,vul,v5.4
linux,CVE-2020-8648,vul,v2.6.37
linux,CVE-2020-8648,vul,v3.12
linux,CVE-2020-9383,vul,v2.6.12
linux,CVE-2020-9383,vul,v2.6.34
linux,CVE-2020-9391,vul,v5.4
linux,CVE-2020-9391,vul,v5.5
wireshark,CVE-2020-9429,vul,v2.9.0
wireshark,CVE-2020-9429,vul,v3.2.0
wireshark,CVE-2020-9431,vul,v1.99.7
httpd,CVE-2020-9490,pre,2.4.19
httpd,CVE-2020-9490,vul,2.4.40
httpd,CVE-2020-9490,vul,2.4.43
linux,CVE-2021-0342,vul,v4.15
linux,CVE-2021-0342,vul,v4.19
linux,CVE-2021-0512,vul,v2.6.20
linux,CVE-2021-0512,vul,v3.5
linux,CVE-2021-0605,vul,v3.15
linux,CVE-2021-0605,vul,v4.11
linux,CVE-2021-0707,pre,v5.6
linux,CVE-2021-0707,vul,v5.8
linux,CVE-2021-0707,vul,v5.9
linux,CVE-2021-0920,vul,v2.6.12
linux,CVE-2021-0920,vul,v4.0
ImageMagick,CVE-2021-20176,vul,7.0.7-39
ImageMagick,CVE-2021-20176,vul,7.0.1-2
ImageMagick,CVE-2021-20224,vul,7.0.10-10
ImageMagick,CVE-2021-20224,vul,7.0.10-56
ImageMagick,CVE-2021-20241,vul,7.0.7-39
ImageMagick,CVE-2021-20241,vul,7.0.10-57
ImageMagick,CVE-2021-20244,vul,7.0.10-10
ImageMagick,CVE-2021-20244,vul,7.0.10-54
ImageMagick,CVE-2021-20245,vul,7.0.10-10
ImageMagick,CVE-2021-20245,vul,7.0.9-2
ImageMagick,CVE-2021-20246,vul,7.0.7-39
ImageMagick,CVE-2021-20246,vul,7.0.10-57
linux,CVE-2021-20261,vul,v2.6.12
linux,CVE-2021-20261,vul,v2.6.36
linux,CVE-2021-20292,vul,v3.3
linux,CVE-2021-20292,vul,v3.17
ImageMagick,CVE-2021-20309,vul,7.0.10-10
ImageMagick,CVE-2021-20309,vul,7.0.10-57
ImageMagick,CVE-2021-20311,pre,7.0.7-17
ImageMagick,CVE-2021-20311,vul,7.0.7-39
ImageMagick,CVE-2021-20311,vul,7.0.9-15
ImageMagick,CVE-2021-20312,vul,7.0.7-39
ImageMagick,CVE-2021-20312,vul,7.0.9-15
