vul_id,repo,fixed_commit_sha,tag,version,vuddy,movery,v1scan,fire,vulture,verdict
CVE-2020-22021,FFmpeg/FFmpeg,b5ffefdd61c94eb98b1ca555b855e2c0bdd953d6,fix,n4.1.7,TN,TN,TN,TN,TN,TN
CVE-2020-22022,FFmpeg/FFmpeg,07050d7bdc32d82e53ee5bb727f5882323d00dba,pre,n1.2.3,TN,TN,TN,TN,TN,FP
CVE-2020-22022,FFmpeg/FFmpeg,07050d7bdc32d82e53ee5bb727f5882323d00dba,vul,n2.1.2,FN,TP,FN,FN,FN,TP
CVE-2020-22022,FFmpeg/FFmpeg,07050d7bdc32d82e53ee5bb727f5882323d00dba,vul,n3.4.4,FN,TP,TP,FN,FN,TP
CVE-2020-22022,FFmpeg/FFmpeg,07050d7bdc32d82e53ee5bb727f5882323d00dba,fix,n8.0,TN,TN,TN,TN,TN,TN
CVE-2020-22030,FFmpeg/FFmpeg,e1b89c76f66343d1b495165664647317c66764bb,pre,n3.4,TN,TN,TN,TN,TN,FP
CVE-2020-22030,FFmpeg/FFmpeg,e1b89c76f66343d1b495165664647317c66764bb,vul,n4.2.2,FN,FN,FN,FN,FN,TP
CVE-2020-22030,FFmpeg/FFmpeg,e1b89c76f66343d1b495165664647317c66764bb,vul,n4.1.5,FN,FN,FN,FN,FN,TP
CVE-2020-22030,FFmpeg/FFmpeg,e1b89c76f66343d1b495165664647317c66764bb,fix,n8.0,TN,TN,TN,TN,TN,TN
CVE-2020-22036,FFmpeg/FFmpeg,8c3166e1c302c3ba80d9742ae46161c0fa8e2606,vul,n3.4.3,FN,TP,FN,FN,FN,TP
CVE-2020-22036,FFmpeg/FFmpeg,8c3166e1c302c3ba80d9742ae46161c0fa8e2606,vul,n4.2.2,FN,TP,TP,FN,FN,TP
CVE-2020-22036,FFmpeg/FFmpeg,8c3166e1c302c3ba80d9742ae46161c0fa8e2606,fix,n7.0,TN,TN,TN,TN,TN,TN
CVE-2020-22036,FFmpeg/FFmpeg,8c3166e1c302c3ba80d9742ae46161c0fa8e2606,fix,n6.1.3,TN,TN,TN,TN,TN,TN
CVE-2020-22038,FFmpeg/FFmpeg,7c32e9cf93b712f8463573a59ed4e98fd10fa013,pre,n4.0,TN,FP,TN,TN,TN,FP
CVE-2020-22038,FFmpeg/FFmpeg,7c32e9cf93b712f8463573a59ed4e98fd10fa013,vul,n4.3.6,FN,TP,TP,FN,FN,TP
CVE-2020-22038,FFmpeg/FFmpeg,7c32e9cf93b712f8463573a59ed4e98fd10fa013,vul,n4.2.2,FN,TP,FN,FN,FN,TP
CVE-2020-22038,FFmpeg/FFmpeg,7c32e9cf93b712f8463573a59ed4e98fd10fa013,fix,n8.0,TN,TN,TN,TN,TN,TN
CVE-2020-22039,FFmpeg/FFmpeg,a581bb66ea5eb981e2e498ca301df7d1ef15a6a3,pre,v0.5,TN,FP,TN,TN,TN,FP
CVE-2020-22039,FFmpeg/FFmpeg,a581bb66ea5eb981e2e498ca301df7d1ef15a6a3,vul,n3.1.4,FN,TP,FN,FN,FN,TP
CVE-2020-22039,FFmpeg/FFmpeg,a581bb66ea5eb981e2e498ca301df7d1ef15a6a3,vul,n3.3.2,FN,TP,TP,TP,FN,TP
CVE-2020-22039,FFmpeg/FFmpeg,a581bb66ea5eb981e2e498ca301df7d1ef15a6a3,fix,n4.3,TN,TN,TN,TN,TN,TN
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,vul,n3.4.4,FN,TP,TP,FN,FN,TP
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,vul,n4.2.2,FN,TP,TP,FN,FN,TP
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,fix,n6.0,TN,TN,TN,TN,TN,TN
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,fix,n5.1.5,TN,TN,TN,TN,TN,TN
CVE-2020-22042,FFmpeg/FFmpeg,426c16d61a9b5056a157a1a2a057a4e4d13eef84,vul,n3.4.4,FN,TP,FN,TP,FN,TP
CVE-2020-22042,FFmpeg/FFmpeg,426c16d61a9b5056a157a1a2a057a4e4d13eef84,vul,n4.2.7,FN,TP,FN,TP,FN,TP
CVE-2020-22042,FFmpeg/FFmpeg,426c16d61a9b5056a157a1a2a057a4e4d13eef84,fix,n6.1,TN,TN,TN,TN,TN,TN
CVE-2020-22042,FFmpeg/FFmpeg,426c16d61a9b5056a157a1a2a057a4e4d13eef84,fix,n8.0,TN,TN,TN,TN,TN,TN
CVE-2020-22043,FFmpeg/FFmpeg,b288a7eb3d963a175e177b6219c8271076ee8590,vul,n3.1.4,FN,TP,TP,FN,FN,TP
CVE-2020-22043,FFmpeg/FFmpeg,b288a7eb3d963a175e177b6219c8271076ee8590,vul,n4.2.10,FN,TP,TP,TP,FN,TP
CVE-2020-22043,FFmpeg/FFmpeg,b288a7eb3d963a175e177b6219c8271076ee8590,fix,n6.0,TN,FP,TN,TN,TN,TN
CVE-2020-22043,FFmpeg/FFmpeg,b288a7eb3d963a175e177b6219c8271076ee8590,fix,n6.1,TN,FP,TN,TN,TN,TN
CVE-2020-22044,FFmpeg/FFmpeg,c7c2f4975b23dc2ba6b3324a41bb495fcb4656d6,pre,n0.9,TN,FP,TN,TN,TN,TN
CVE-2020-22044,FFmpeg/FFmpeg,c7c2f4975b23dc2ba6b3324a41bb495fcb4656d6,vul,n2.1.2,FN,TP,FN,FN,FN,TP
CVE-2020-22044,FFmpeg/FFmpeg,c7c2f4975b23dc2ba6b3324a41bb495fcb4656d6,vul,n2.8.1,FN,TP,FN,FN,FN,TP
