project,cve,type,detected_version,vulnerability_paths
torvalds,CVE-2023-2019,vul,v5.12,./vul/testset/CVE-2023-2019##180a6a3e##fib.c_3_OLD.vul
torvalds,CVE-2023-2019,vul,v5.13,./vul/testset/CVE-2023-2019##180a6a3e##fib.c_1_OLD.vul;./vul/testset/CVE-2023-2019##180a6a3e##fib.c_4_OLD.vul
torvalds,CVE-2023-21255,vul,v6.0,./vul/testset/CVE-2023-21255##bdc1c5fa##binder.c_2_OLD.vul;./vul/testset/CVE-2023-21255##bdc1c5fa##binder.c_3_OLD.vul
torvalds,CVE-2023-21264,fix,v6.14,./vul/testset/CVE-2023-21264##09cce60b##mem_protect.c_1_OLD.vul
torvalds,CVE-2023-21264,vul,v6.1,./vul/testset/CVE-2023-21264##09cce60b##mem_protect.c_1_OLD.vul;./vul/testset/CVE-2023-21264##09cce60b##mem_protect.c_2_OLD.vul
torvalds,CVE-2023-23000,vul,v4.15,./vul/testset/CVE-2023-23000##045a31b9##xusb.c_1_OLD.vul
torvalds,CVE-2023-23559,vul,v3.5,./vul/testset/CVE-2023-23559##b870e73a##rndis_wlan.c_1_OLD.vul
torvalds,CVE-2023-25775,vul,v5.18,./vul/testset/CVE-2023-25775##bb6d73d9##ctrl.c_1_OLD.vul;./vul/testset/CVE-2023-25775##bb6d73d9##ctrl.c_2_OLD.vul;./vul/testset/CVE-2023-25775##bb6d73d9##verbs.c_2_OLD.vul;./vul/testset/CVE-2023-25775##bb6d73d9##verbs.c_5_OLD.vul
torvalds,CVE-2023-28327,pre,v4.14,./vul/testset/CVE-2023-28327##b3abe42e##diag.c_3_OLD.vul
torvalds,CVE-2023-28327,vul,v5.17,./vul/testset/CVE-2023-28327##b3abe42e##diag.c_3_OLD.vul
torvalds,CVE-2023-28327,vul,v5.3,./vul/testset/CVE-2023-28327##b3abe42e##diag.c_1_OLD.vul;./vul/testset/CVE-2023-28327##b3abe42e##diag.c_2_OLD.vul
torvalds,CVE-2023-2898,vul,v5.13,./vul/testset/CVE-2023-2898##d8189834##file.c_5_OLD.vul
torvalds,CVE-2023-3006,vul,v5.18,./vul/testset/CVE-2023-3006##0e5d5ae8##proton-pack.c_1_OLD.vul
torvalds,CVE-2023-3106,vul,v3.15,./vul/testset/CVE-2023-3106##1ba5bf99##xfrm_user.c_2_OLD.vul
torvalds,CVE-2023-3106,vul,v4.3,./vul/testset/CVE-2023-3106##1ba5bf99##xfrm_user.c_1_OLD.vul
torvalds,CVE-2023-32233,vul,v5.1,./vul/testset/CVE-2023-32233##c1592a89##nft_dynset.c_2_OLD.vul;./vul/testset/CVE-2023-32233##c1592a89##nft_lookup.c_1_OLD.vul;./vul/testset/CVE-2023-32233##c1592a89##nft_objref.c_2_OLD.vul
torvalds,CVE-2023-3268,vul,v5.8,./vul/testset/CVE-2023-3268##43ec16f1##relay.c_1_OLD.vul
torvalds,CVE-2023-3338,vul,v4.2,./vul/testset/CVE-2023-3338##1202cdd6##neighbour.c_8_OLD.vul
torvalds,CVE-2023-34319,vul,v6.3,./vul/testset/CVE-2023-34319##534fc31d##netback.c_5_OLD.vul
torvalds,CVE-2023-4194,vul,v6.4,./vul/testset/CVE-2023-4194##9bc30473##tun.c_7_OLD.vul
torvalds,CVE-2023-4387,vul,v5.15,./vul/testset/CVE-2023-4387##9e7fef95##vmxnet3_drv.c_2_OLD.vul
torvalds,CVE-2023-45863,vul,v2.6.20,./vul/testset/CVE-2023-45863##3bb2a01c##kobject.c_2_OLD.vul
torvalds,CVE-2023-4732,vul,v5.7,./vul/testset/CVE-2023-4732##8f34f1ea##huge_memory.c_5_OLD.vul
torvalds,CVE-2023-4732,vul,v5.9,./vul/testset/CVE-2023-4732##8f34f1ea##memory.c_6_OLD.vul
torvalds,CVE-2023-4921,vul,v3.8,./vul/testset/CVE-2023-4921##8fc134fe##sch_qfq.c_1_OLD.vul
torvalds,CVE-2023-5197,fix,v6.13,./vul/testset/CVE-2023-5197##f15f29fd##nf_tables_api.c_7_OLD.vul
torvalds,CVE-2023-5197,vul,v5.18,./vul/testset/CVE-2023-5197##f15f29fd##nf_tables_api.c_15_OLD.vul;./vul/testset/CVE-2023-5197##f15f29fd##nf_tables_api.c_7_OLD.vul
torvalds,CVE-2023-52434,vul,v6.4,./vul/testset/CVE-2023-52434##af1689a9##smb2pdu.c_9_OLD.vul
torvalds,CVE-2023-52434,vul,v6.6,./vul/testset/CVE-2023-52434##af1689a9##smb2pdu.c_7_OLD.vul
torvalds,CVE-2023-52439,vul,v5.1,./vul/testset/CVE-2023-52439##0c9ae0b8##uio.c_1_OLD.vul
torvalds,CVE-2023-52457,vul,v6.5,./vul/testset/CVE-2023-52457##ad90d035##8250_omap.c_1_OLD.vul
torvalds,CVE-2023-52477,vul,v4.4,./vul/testset/CVE-2023-52477##f74a7afc##hub.c_1_OLD.vul
torvalds,CVE-2023-52491,vul,v6.2,./vul/testset/CVE-2023-52491##206c857d##mtk_jpeg_core.c_1_OLD.vul
torvalds,CVE-2023-52520,vul,v5.17,./vul/testset/CVE-2023-52520##528ab3e6##think-lmi.c_1_OLD.vul
torvalds,CVE-2023-52578,vul,v4.8,./vul/testset/CVE-2023-52578##44bdb313##br_forward.c_1_OLD.vul
torvalds,CVE-2023-52582,vul,v6.1,./vul/testset/CVE-2023-52582##df1c357f##buffered_read.c_1_OLD.vul
torvalds,CVE-2023-52588,vul,v5.6,./vul/testset/CVE-2023-52588##4961acdd##compress.c_4_OLD.vul
torvalds,CVE-2023-52589,vul,v6.0,./vul/testset/CVE-2023-52589##870565f0##rkisp1-csi.c_1_OLD.vul;./vul/testset/CVE-2023-52589##870565f0##rkisp1-isp.c_1_OLD.vul
torvalds,CVE-2023-52593,vul,v5.19,./vul/testset/CVE-2023-52593##fe0a7776##sta.c_2_OLD.vul
torvalds,CVE-2023-52593,vul,v6.0,./vul/testset/CVE-2023-52593##fe0a7776##sta.c_3_OLD.vul
torvalds,CVE-2023-52596,fix,v6.13,./vul/testset/CVE-2023-52596##31555231##proc_sysctl.c_1_OLD.vul
torvalds,CVE-2023-52617,vul,v5.0,./vul/testset/CVE-2023-52617##df254611##switchtec.c_2_OLD.vul
torvalds,CVE-2023-52622,vul,v4.15,./vul/testset/CVE-2023-52622##5d1935ac##resize.c_2_OLD.vul
torvalds,CVE-2023-52624,vul,v5.13,./vul/testset/CVE-2023-52624##e5ffd126##dc_dmub_srv.c_10_OLD.vul
torvalds,CVE-2023-52630,vul,v5.19,./vul/testset/CVE-2023-52630##2a427b49##blk-iocost.c_1_OLD.vul
torvalds,CVE-2023-5717,fix,v6.16,./vul/testset/CVE-2023-5717##32671e37##core.c_62_OLD.vul
torvalds,CVE-2023-5717,vul,v4.17,./vul/testset/CVE-2023-5717##32671e37##core.c_25_OLD.vul;./vul/testset/CVE-2023-5717##32671e37##core.c_62_OLD.vul
torvalds,CVE-2023-6039,vul,v5.17,./vul/testset/CVE-2023-6039##1e7417c1##lan78xx.c_1_OLD.vul
torvalds,CVE-2023-6176,vul,v6.2,./vul/testset/CVE-2023-6176##cfaa80c9##tls_sw.c_9_OLD.vul
torvalds,CVE-2023-6622,vul,v5.13,./vul/testset/CVE-2023-6622##3701cd39##nft_dynset.c_1_OLD.vul
torvalds,CVE-2023-6915,vul,v4.20,./vul/testset/CVE-2023-6915##af73483f##test_ida.c_2_OLD.vul
torvalds,CVE-2023-6931,vul,v6.0,./vul/testset/CVE-2023-6931##382c27f4##core.c_10_OLD.vul;./vul/testset/CVE-2023-6931##382c27f4##core.c_110_OLD.vul;./vul/testset/CVE-2023-6931##382c27f4##core.c_8_OLD.vul
torvalds,CVE-2024-0443,vul,v6.2,./vul/testset/CVE-2024-0443##20cb1c2f##blk-cgroup.c_4_OLD.vul
torvalds,CVE-2024-0443,vul,v6.3,./vul/testset/CVE-2024-0443##20cb1c2f##blk-cgroup.c_3_OLD.vul
torvalds,CVE-2024-0582,vul,v6.4,./vul/testset/CVE-2024-0582##c392cbec##kbuf.c_1_OLD.vul;./vul/testset/CVE-2024-0582##c392cbec##kbuf.c_4_OLD.vul
torvalds,CVE-2024-0607,vul,v5.6,./vul/testset/CVE-2024-0607##c301f098##nft_meta.c_1_OLD.vul
torvalds,CVE-2024-1151,vul,v5.6,./vul/testset/CVE-2024-1151##6e2f90d3##flow_netlink.c_2_OLD.vul;./vul/testset/CVE-2024-1151##6e2f90d3##flow_netlink.c_3_OLD.vul;./vul/testset/CVE-2024-1151##6e2f90d3##flow_netlink.c_4_OLD.vul;./vul/testset/CVE-2024-1151##6e2f90d3##flow_netlink.c_6_OLD.vul
torvalds,CVE-2024-26594,vul,v6.4,./vul/testset/CVE-2024-26594##92e47016##smb2pdu.c_12_OLD.vul
torvalds,CVE-2024-26598,vul,v5.8,./vul/testset/CVE-2024-26598##ad362fe0##vgic-its.c_2_OLD.vul
torvalds,CVE-2024-26601,vul,v5.13,./vul/testset/CVE-2024-26601##c9b528c3##mballoc.c_3_OLD.vul
torvalds,CVE-2024-26603,vul,v5.16,./vul/testset/CVE-2024-26603##d877550e##signal.c_1_OLD.vul
torvalds,CVE-2024-26607,vul,v5.18,./vul/testset/CVE-2024-26607##08ac6f13##sii902x.c_1_OLD.vul
torvalds,CVE-2024-26614,vul,v4.4,./vul/testset/CVE-2024-26614##198bc90e##request_sock.c_1_OLD.vul
torvalds,CVE-2024-26620,vul,v6.0,./vul/testset/CVE-2024-26620##850fb7fa##vfio_ap_ops.c_2_OLD.vul
torvalds,CVE-2024-26620,vul,v6.3,./vul/testset/CVE-2024-26620##850fb7fa##vfio_ap_ops.c_1_OLD.vul;./vul/testset/CVE-2024-26620##850fb7fa##vfio_ap_ops.c_3_OLD.vul
torvalds,CVE-2024-26629,vul,v6.2,./vul/testset/CVE-2024-26629##edcf9725##nfs4state.c_2_OLD.vul
torvalds,CVE-2024-26632,vul,v5.18,./vul/testset/CVE-2024-26632##7bed6f3d##bio.h_1_OLD.vul;./vul/testset/CVE-2024-26632##7bed6f3d##bio.h_2_OLD.vul
torvalds,CVE-2024-26649,vul,v6.7,./vul/testset/CVE-2024-26649##bc03c02c##gfx_v10_0.c_1_OLD.vul
torvalds,CVE-2024-26657,vul,v6.8,./vul/testset/CVE-2024-26657##f34e8bb7##sched_entity.c_1_OLD.vul
torvalds,CVE-2024-26669,vul,v5.4,./vul/testset/CVE-2024-26669##32f2a0af##cls_api.c_1_OLD.vul
torvalds,CVE-2024-26697,vul,v3.8,./vul/testset/CVE-2024-26697##67b8bcba##recovery.c_2_OLD.vul
torvalds,CVE-2024-26698,vul,v5.8,./vul/testset/CVE-2024-26698##e0526ec5##netvsc.c_1_OLD.vul
torvalds,CVE-2024-26731,vul,v6.6,./vul/testset/CVE-2024-26731##4cd12c60##skmsg.c_1_OLD.vul
torvalds,CVE-2024-26761,vul,v6.3,./vul/testset/CVE-2024-26761##0cab6872##pci.c_1_OLD.vul
torvalds,CVE-2024-26764,vul,v5.0,./vul/testset/CVE-2024-26764##b820de74##aio.c_2_OLD.vul
torvalds,CVE-2024-26774,vul,v6.0,./vul/testset/CVE-2024-26774##993bf0f4##mballoc.c_2_OLD.vul
torvalds,CVE-2024-26807,vul,v6.6,./vul/testset/CVE-2024-26807##32ce3bb5##spi-cadence-quadspi.c_1_OLD.vul;./vul/testset/CVE-2024-26807##32ce3bb5##spi-cadence-quadspi.c_2_OLD.vul
uclouvain,CVE-2020-27823,vul,v2.1.2,./vul/testset/CVE-2020-27823##b2072402##convertpng.c_1_OLD.vul
uclouvain,CVE-2021-29338,vul,v2.3.0,./vul/testset/CVE-2021-29338##79c7d7af##opj_dump.c_1_OLD.vul
wireshark,CVE-2020-17498,vul,v3.2.2,./vul/testset/CVE-2020-17498##76afda96##packet-kafka.c_14_OLD.vul
wireshark,CVE-2020-25863,vul,v2.9.0,./vul/testset/CVE-2020-25863##5803c7b8##packet-multipart.c_1_OLD.vul
wireshark,CVE-2020-25866,vul,v3.2.4,./vul/testset/CVE-2020-25866##4a948427##packet-blip.c_3_OLD.vul;./vul/testset/CVE-2020-25866##4a948427##packet-blip.c_4_OLD.vul
wireshark,CVE-2020-26418,vul,v3.2.4,./vul/testset/CVE-2020-26418##f4374967##packet-kafka.c_19_OLD.vul
wireshark,CVE-2020-26418,vul,v3.3.1,./vul/testset/CVE-2020-26418##f4374967##packet-kafka.c_14_OLD.vul;./vul/testset/CVE-2020-26418##f4374967##packet-kafka.c_21_OLD.vul;./vul/testset/CVE-2020-26418##f4374967##packet-kafka.c_3_OLD.vul;./vul/testset/CVE-2020-26418##f4374967##packet-kafka.c_6_OLD.vul;./vul/testset/CVE-2020-26418##f4374967##packet-kafka.c_8_OLD.vul
wireshark,CVE-2020-26420,pre,v2.1.0,./vul/testset/CVE-2020-26420##33e63d19##packet-rtps.c_4_OLD.vul
wireshark,CVE-2020-26420,vul,v3.2.7,./vul/testset/CVE-2020-26420##33e63d19##packet-rtps.c_2_OLD.vul;./vul/testset/CVE-2020-26420##33e63d19##packet-rtps.c_3_OLD.vul;./vul/testset/CVE-2020-26420##33e63d19##packet-rtps.c_4_OLD.vul;./vul/testset/CVE-2020-26420##33e63d19##packet-rtps.c_5_OLD.vul
wireshark,CVE-2020-26421,vul,v3.0.4,./vul/testset/CVE-2020-26421##d5f26578##to_str.c_1_OLD.vul
wireshark,CVE-2020-26575,vul,v3.2.7,./vul/testset/CVE-2020-26575##3ff94065##packet-fbzero.c_1_OLD.vul;./vul/testset/CVE-2020-26575##3ff94065##packet-fbzero.c_2_OLD.vul
wireshark,CVE-2020-7045,fix,v3.2.0,./vul/testset/CVE-2020-7045##01f261de##packet-btatt.c_1_OLD.vul
wireshark,CVE-2020-7045,vul,v2.9.0,./vul/testset/CVE-2020-7045##01f261de##packet-btatt.c_3_OLD.vul
wireshark,CVE-2021-22191,fix,v4.6.0,./vul/testset/CVE-2021-22191##e99c9afc##wslua_gui.c_1_OLD.vul;./vul/testset/CVE-2021-22191##e99c9afc##wslua_gui.c_2_OLD.vul
wireshark,CVE-2021-22191,vul,v2.0.7,./vul/testset/CVE-2021-22191##e99c9afc##wslua_gui.c_1_OLD.vul;./vul/testset/CVE-2021-22191##e99c9afc##wslua_gui.c_2_OLD.vul
wireshark,CVE-2021-22207,vul,v3.0.2,./vul/testset/CVE-2021-22207##b7a0650e##packet-mswsp.c_1_OLD.vul;./vul/testset/CVE-2021-22207##b7a0650e##packet-mswsp.c_2_OLD.vul
wireshark,CVE-2021-39925,vul,v3.4.4,./vul/testset/CVE-2021-39925##e15e9874##packet-btsdp.c_2_OLD.vul
wireshark,CVE-2021-4181,vul,v3.4.16,./vul/testset/CVE-2021-4181##c22b8bcb##packet-sysdig-event.c_1_OLD.vul
wireshark,CVE-2021-4186,vul,v3.5.0,./vul/testset/CVE-2021-4186##ca71d162##packet-gryphon.c_1_OLD.vul;./vul/testset/CVE-2021-4186##ca71d162##packet-gryphon.c_2_OLD.vul
wireshark,CVE-2024-24476,vul,v2.2.0,./vul/testset/CVE-2024-24476##108217f4##addr_resolv.c_1_OLD.vul;./vul/testset/CVE-2024-24476##108217f4##addr_resolv.c_4_OLD.vul;./vul/testset/CVE-2024-24476##108217f4##addr_resolv.c_7_OLD.vul;./vul/testset/CVE-2024-24476##108217f4##address_types.c_1_OLD.vul
