project,cve,type,detected_version,vulnerability_paths
torvalds,CVE-2020-29374,vul,v4.15,./vul/testset/CVE-2020-29374##17839856##gup.c_5_OLD.vul;./vul/testset/CVE-2020-29374##17839856##huge_memory.c_2_OLD.vul
torvalds,CVE-2020-35513,pre,v4.8,./vul/testset/CVE-2020-35513##880a3a53##nfs4proc.c_3_OLD.vul
torvalds,CVE-2020-35513,vul,v4.10,./vul/testset/CVE-2020-35513##880a3a53##nfs4xdr.c_1_OLD.vul;./vul/testset/CVE-2020-35513##880a3a53##nfs4xdr.c_2_OLD.vul
torvalds,CVE-2020-35513,vul,v4.13,./vul/testset/CVE-2020-35513##880a3a53##nfs4proc.c_2_OLD.vul;./vul/testset/CVE-2020-35513##880a3a53##nfs4proc.c_3_OLD.vul
torvalds,CVE-2020-36784,vul,v5.8,./vul/testset/CVE-2020-36784##23ceb846##i2c-cadence.c_1_OLD.vul;./vul/testset/CVE-2020-36784##23ceb846##i2c-cadence.c_2_OLD.vul
torvalds,CVE-2020-36787,vul,v5.3,./vul/testset/CVE-2020-36787##3536169f##aspeed-video.c_1_OLD.vul;./vul/testset/CVE-2020-36787##3536169f##aspeed-video.c_3_OLD.vul
torvalds,CVE-2020-7053,pre,v4.11,./vul/testset/CVE-2020-7053##7dc40713##i915_gem_context.c_6_OLD.vul
torvalds,CVE-2020-7053,vul,v4.14,./vul/testset/CVE-2020-7053##7dc40713##i915_gem_context.c_6_OLD.vul
torvalds,CVE-2020-8649,vul,v2.6.24,./vul/testset/CVE-2020-8649##513dc792##vgacon.c_1_OLD.vul
torvalds,CVE-2020-9383,vul,v2.6.34,./vul/testset/CVE-2020-9383##2e90ca68##floppy.c_6_OLD.vul
torvalds,CVE-2020-9391,vul,v5.5,./vul/testset/CVE-2020-9391##dcde2373##mmap.c_1_OLD.vul
torvalds,CVE-2021-0447,vul,v3.17,./vul/testset/CVE-2021-0447##ee40fb2e##l2tp_ppp.c_12_OLD.vul;./vul/testset/CVE-2021-0447##ee40fb2e##l2tp_ppp.c_1_OLD.vul
torvalds,CVE-2021-0512,vul,v3.5,./vul/testset/CVE-2021-0512##ed9be64e##hid-core.c_4_OLD.vul
torvalds,CVE-2021-0707,vul,v5.9,./vul/testset/CVE-2021-0707##05cd8469##dma-buf.c_2_OLD.vul
torvalds,CVE-2021-20261,fix,v5.8,./vul/testset/CVE-2021-20261##a0c80efe##floppy.c_12_OLD.vul
torvalds,CVE-2021-20261,vul,v2.6.36,./vul/testset/CVE-2021-20261##a0c80efe##floppy.c_10_OLD.vul;./vul/testset/CVE-2021-20261##a0c80efe##floppy.c_3_OLD.vul;./vul/testset/CVE-2021-20261##a0c80efe##floppy.c_7_OLD.vul;./vul/testset/CVE-2021-20261##a0c80efe##floppy.c_9_OLD.vul
torvalds,CVE-2021-20317,vul,v4.10,./vul/testset/CVE-2021-20317##511885d7##timerqueue.c_2_OLD.vul
torvalds,CVE-2021-26708,vul,v5.5,./vul/testset/CVE-2021-26708##c518adaf##af_vsock.c_4_OLD.vul
torvalds,CVE-2021-26708,vul,v5.9,./vul/testset/CVE-2021-26708##c518adaf##af_vsock.c_2_OLD.vul;./vul/testset/CVE-2021-26708##c518adaf##af_vsock.c_3_OLD.vul;./vul/testset/CVE-2021-26708##c518adaf##af_vsock.c_5_OLD.vul;./vul/testset/CVE-2021-26708##c518adaf##af_vsock.c_6_OLD.vul
torvalds,CVE-2021-27364,vul,v3.3,./vul/testset/CVE-2021-27364##688e8128##scsi_transport_iscsi.c_3_OLD.vul
torvalds,CVE-2021-28691,vul,v5.5,./vul/testset/CVE-2021-28691##107866a8##interface.c_2_OLD.vul
torvalds,CVE-2021-28713,vul,v3.18,./vul/testset/CVE-2021-28713##fe415186##hvc_xen.c_3_OLD.vul
torvalds,CVE-2021-28951,vul,v5.10,./vul/testset/CVE-2021-28951##3ebba796##io_uring.c_41_OLD.vul
torvalds,CVE-2021-28951,vul,v5.11,./vul/testset/CVE-2021-28951##3ebba796##io_uring.c_30_OLD.vul
torvalds,CVE-2021-29264,vul,v4.16,./vul/testset/CVE-2021-29264##d8861bab##gianfar.c_1_OLD.vul;./vul/testset/CVE-2021-29264##d8861bab##gianfar.c_2_OLD.vul
torvalds,CVE-2021-32606,vul,v5.12,./vul/testset/CVE-2021-32606##2b17c400##isotp.c_3_OLD.vul;./vul/testset/CVE-2021-32606##2b17c400##isotp.c_4_OLD.vul
torvalds,CVE-2021-33033,vul,v4.13,./vul/testset/CVE-2021-33033##ad5d07f4##calipso.c_1_OLD.vul;./vul/testset/CVE-2021-33033##ad5d07f4##calipso.c_2_OLD.vul;./vul/testset/CVE-2021-33033##ad5d07f4##cipso_ipv4.c_2_OLD.vul;./vul/testset/CVE-2021-33033##ad5d07f4##cipso_ipv4.c_4_OLD.vul
torvalds,CVE-2021-33656,vul,v3.5,./vul/testset/CVE-2021-33656##ff2047fb##vt.c_1_OLD.vul
torvalds,CVE-2021-3411,vul,v5.8,./vul/testset/CVE-2021-3411##0d07c0ec##opt.c_1_OLD.vul
torvalds,CVE-2021-3640,vul,v2.6.35,./vul/testset/CVE-2021-3640##99c23da0##sco.c_1_OLD.vul
torvalds,CVE-2021-3655,vul,v3.15,./vul/testset/CVE-2021-3655##0c5dc070##ipv6.c_1_OLD.vul
torvalds,CVE-2021-3732,pre,v3.12,./vul/testset/CVE-2021-3732##427215d8##namespace.c_7_OLD.vul
torvalds,CVE-2021-3732,vul,v3.18,./vul/testset/CVE-2021-3732##427215d8##namespace.c_7_OLD.vul
torvalds,CVE-2021-3752,vul,v3.8,./vul/testset/CVE-2021-3752##1bff51ea##l2cap_sock.c_1_OLD.vul
torvalds,CVE-2021-4083,vul,v5.11,./vul/testset/CVE-2021-4083##054aa8d4##file.c_8_OLD.vul
torvalds,CVE-2021-4095,vul,v5.15,./vul/testset/CVE-2021-4095##55749769##x86.c_8_OLD.vul
torvalds,CVE-2021-4203,vul,v2.6.36,./vul/testset/CVE-2021-4203##35306eb2##af_unix.c_5_OLD.vul
torvalds,CVE-2021-4203,vul,v4.10,./vul/testset/CVE-2021-4203##35306eb2##af_unix.c_2_OLD.vul
torvalds,CVE-2021-4204,vul,v5.11,./vul/testset/CVE-2021-4204##be80a1d3##verifier.c_35_OLD.vul
torvalds,CVE-2021-42327,vul,v5.13,./vul/testset/CVE-2021-42327##5afa7898##amdgpu_dm_debugfs.c_2_OLD.vul
torvalds,CVE-2021-44733,vul,v4.12,./vul/testset/CVE-2021-44733##dfd0743f##tee_shm.c_6_OLD.vul;./vul/testset/CVE-2021-44733##dfd0743f##tee_shm.c_8_OLD.vul;./vul/testset/CVE-2021-44733##dfd0743f##tee_shm.c_9_OLD.vul
torvalds,CVE-2021-44733,vul,v5.4,./vul/testset/CVE-2021-44733##dfd0743f##tee_shm.c_11_OLD.vul
torvalds,CVE-2021-45402,vul,v5.10,./vul/testset/CVE-2021-45402##3cf2b61e##verifier.c_25_OLD.vul
torvalds,CVE-2021-46283,vul,v5.11,./vul/testset/CVE-2021-46283##ad9f151e##nf_tables_api.c_1_OLD.vul
torvalds,CVE-2021-46933,vul,v4.1,./vul/testset/CVE-2021-46933##b1e08873##f_fs.c_1_OLD.vul
torvalds,CVE-2021-46978,vul,v5.11,./vul/testset/CVE-2021-46978##f5c7e842##nested.c_2_OLD.vul;./vul/testset/CVE-2021-46978##f5c7e842##nested.c_3_OLD.vul
torvalds,CVE-2021-46991,vul,v4.17,./vul/testset/CVE-2021-46991##38318f23##i40e_client.c_1_OLD.vul
torvalds,CVE-2021-46994,vul,v5.10,./vul/testset/CVE-2021-46994##03c42714##mcp251x.c_2_OLD.vul;./vul/testset/CVE-2021-46994##03c42714##mcp251x.c_3_OLD.vul
torvalds,CVE-2021-46994,vul,v5.5,./vul/testset/CVE-2021-46994##03c42714##mcp251x.c_1_OLD.vul;./vul/testset/CVE-2021-46994##03c42714##mcp251x.c_4_OLD.vul
torvalds,CVE-2021-46997,vul,v5.10,./vul/testset/CVE-2021-46997##4d6a38da##daifflags.h_1_OLD.vul
