vul_id,repo,fixed_commit_sha,patch_file,patch_func,target_file,target_func,CWE,vuln_type,judgement
CVE-2020-24020,FFmpeg/FFmpeg,584f396132aa19d21bb1e38ad9a5d428869290cb,libavfilter/dnn/dnn_backend_native.c,calculate_operand_data_length,libavfilter/dnn/dnn_backend_tf.c,allocate_input_tensor,Unknown,Unknown,TP
CVE-2020-24020,FFmpeg/FFmpeg,584f396132aa19d21bb1e38ad9a5d428869290cb,libavfilter/dnn/dnn_backend_native_layer_mathunary.c,dnn_execute_layer_math_unary,libavfilter/vf_dnn_detect.c,dnn_detect_post_proc_ssd,Unknown,Unknown,
CVE-2022-1475,FFmpeg/FFmpeg,757da974b21833529cc41bdcc9684c29660cdfa8,libavcodec/g729_parser.c,g729_parse,libavcodec/adx_parser.c,adx_parse,Unknown,Unknown,
CVE-2022-3109,FFmpeg/FFmpeg,656cb0450aeb73b25d7d26980af342b37ac4c568,libavcodec/vp3.c,vp3_decode_frame,libavcodec/vqavideo.c,vqa_decode_init,Unknown,Unknown,
CVE-2022-3109,FFmpeg/FFmpeg,656cb0450aeb73b25d7d26980af342b37ac4c568,libavcodec/vp3.c,vp3_decode_frame,libavcodec/apedec.c,ape_decode_frame,Unknown,Unknown,
CVE-2022-3341,FFmpeg/FFmpeg,9cf652cef49d74afe3d454f27d49eb1a1394951e,libavformat/nutdec.c,decode_main_header,libavformat/txd.c,txd_read_header,Unknown,Unknown,
CVE-2022-3965,FFmpeg/FFmpeg,13c13109759090b7f7182480d075e13b36ed8edd,libavcodec/smcenc.c,smc_encode_stream,libavcodec/vb.c,vb_decode_framedata,Unknown,Unknown,FP
CVE-2022-3965,FFmpeg/FFmpeg,13c13109759090b7f7182480d075e13b36ed8edd,libavcodec/smcenc.c,smc_encode_stream,libavcodec/rpza.c,rpza_decode_stream,Unknown,Unknown,FP
CVE-2022-3965,FFmpeg/FFmpeg,13c13109759090b7f7182480d075e13b36ed8edd,libavcodec/smcenc.c,smc_encode_stream,libavcodec/smc.c,smc_decode_stream,Unknown,Unknown,FP
CVE-2022-48434,FFmpeg/FFmpeg,031c9601d06759a748adc077f73e3005b5571be1,libavcodec/pthread_frame.c,ff_thread_finish_setup,libavcodec/pthread_frame.c,ff_thread_finish_setup,Unknown,Unknown,
CVE-2023-46407,FFmpeg/FFmpeg,bf814387f42e9b0dea9d75c03db4723c88e7d962,libavcodec/jpegxl_parser.c,read_vlc_prefix,libavcodec/cfhddata.c,cfhd_init_vlc,Unknown,Unknown,
CVE-2023-50007,FFmpeg/FFmpeg,b1942734c7cbcdc9034034373abcc9ecb9644c47,libavfilter/af_afwtdn.c,activate,libavfilter/avf_showcqt.c,activate,Unknown,Unknown,
CVE-2023-50008,FFmpeg/FFmpeg,5f87a68cf70dafeab2fb89b42e41a4c29053b89b,libavfilter/vf_colorcorrect.c,uninit,libavfilter/vf_colorcorrect.c,colorcorrect_slice8,Unknown,Unknown,
