cveid,vul_file,vul_line,vul_func,pat_file,pat_line,pat_func,tar_file,tar_line,tar_func
radareorg_radare2/CVE-2022-28072_027cd9b7,anal_hexagon.c,12,hexagon_v6_op,,,,/home/cyf/repo_dataset/radareorg/radare2/shlr/gdb/src/gdbclient/xml.c,463,gdbr_read_target_xml
radareorg_radare2/CVE-2017-7274_7ab66cca,r_pkcs7.c,276,r_pkcs7_parse_cms,,,,/home/cyf/repo_dataset/radareorg/radare2/libr/util/pkcs7.c,133,r_pkcs7_attribute_parse
radareorg_radare2/CVE-2018-20457_e5c14c16,,,,armass.c,6544,armass_assemble,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/pyc/plugin.c,132,parse_op
radareorg_radare2/CVE-2022-0139_37897226,io_bank.c,159,r_io_bank_map_add_top,io_bank.c,159,r_io_bank_map_add_top,/home/cyf/repo_dataset/radareorg/radare2/libr/io/io_bank.c,436,_delete_submaps_from_bank_tree
radareorg_radare2/CVE-2024-29645_72bf3a48,dwarf.c,1491,init_die,,,,/home/cyf/repo_dataset/radareorg/radare2/shlr/zip/zip/zip_hash.c,347,_zip_hash_reserve_capacity
radareorg_radare2/OSV-2020-490_149cb358,pe.c,1216,_free_resources,pe.c,1216,_free_resource,/home/cyf/repo_dataset/radareorg/radare2/libr/flag/flag.c,264,r_flag_item_free
radareorg_radare2/OSV-2023-989_a9d18eb4,mach0.c,4154,MACH0_,mach0.c,4155,MACH0_,/home/cyf/repo_dataset/radareorg/radare2/shlr/winkd/winkd.c,120,winkd_set_cpu
radareorg_radare2/CVE-2019-16718_5411543a,cbin.c,59,__filterQuotedShell,cbin.c,59,__filterQuotedShell,/home/cyf/repo_dataset/radareorg/radare2/libr/util/name.c,161,r_name_filter_quoted_shell
radareorg_radare2/CVE-2022-1297_0a557045,,,,ne.c,353,r_bin_ne_get_entrypoints,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/p/bin_xtac.c,391,r_bin_xtac_read_xtac_linked_list
radareorg_radare2/CVE-2018-20460_df167c7d,armass64.c,721,parseOperands,armass64.c,721,parseOperands,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/x86_nz/nzasm.c,363,process_1byte_op
radareorg_radare2/CVE-2018-11381_3fcf41ed,file.c,65,string_scan_range,file.c,65,string_scan_range,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/bfile.c,105,string_scan_range
radareorg_radare2/CVE-2023-1605_508a6307,bin_coff.c,488,patch_relocs,bin_coff.c,488,patch_relocs,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/p/bin_pef.c,826,patch_relocs
radareorg_radare2/OSV-2020-393_9f840c63,elf.c,3093,Elf_,elf.c,3093,Elf_,/home/cyf/repo_dataset/radareorg/radare2/shlr/zip/zip/zip_source_tell_write.c,39,zip_source_tell_write
radareorg_radare2/OSV-2023-399_60dd0cd9,elf.c,3833,Elf_,elf.c,3844,Elf_,/home/cyf/repo_dataset/radareorg/radare2/shlr/zip/zip/zip_source_tell_write.c,39,zip_source_tell_write
radareorg_radare2/OSV-2020-1094_45a2f031,bin_dex.c,713,get_sdb,bin_dex.c,732,get_sdb,/home/cyf/repo_dataset/radareorg/radare2/libr/bp/bp.c,124,r_bp_enable
radareorg_radare2/OSV-2020-560_d7fd30df,,,,cbin.c,1838,construct_symbol_flagname,/home/cyf/repo_dataset/radareorg/radare2/shlr/zip/zip/zip_source_file_stdio_named.c,135,_zip_stdio_op_remove
radareorg_radare2/CVE-2022-28068_637f4bd1,,,,dwarf.c,381,dwarf_read_offset,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/tms320/c55x_plus/hashtable.c,480,get_hashfunc_13
radareorg_radare2/CVE-2022-1296_153bcdc2,ne.c,431,r_bin_ne_get_relocs,ne.c,430,r_bin_ne_get_relocs,/home/cyf/repo_dataset/radareorg/radare2/libr/core/canal.c,5038,r_core_anal_cycles
radareorg_radare2/CVE-2022-1061_d4ce40b5,bin_symbols.c,182,parseDragons,bin_symbols.c,182,parseDragons,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/p/bin_symbols.c,179,parse_dragons
radareorg_radare2/OSV-2022-1110_0f2952ea,mach0_classes.c,79,MACH0_,mach0_classes.c,79,MACH0_,/home/cyf/repo_dataset/radareorg/radare2/libr/util/alloc.c,20,r_alloc_hooks
radareorg_radare2/CVE-2022-28069_49b0cebf,anal_vax.c,14,vax_op,anal_vax.c,14,vax_op,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/vax/vax.c,35,DECLARE_GENERIC_FPRINTF_FUNC_NOGLOBALS
radareorg_radare2/CVE-2021-32494_a07dedb8,bin_mach0.c,763,rebase_buffer,bin_mach0.c,763,rebase_buffer,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/p/bin_xnu_kernelcache.c,2980,rebase_buffer
radareorg_radare2/OSV-2020-160_78de31fe,elf.c,3157,Elf_,elf.c,3154,Elf_,/home/cyf/repo_dataset/radareorg/radare2/shlr/zip/zip/zip_source_tell_write.c,39,zip_source_tell_write
radareorg_radare2/OSV-2023-1247_bb40f2ac,bin_coff.c,283,sections,,,,/home/cyf/repo_dataset/radareorg/radare2/libr/util/sys.c,937,r_sys_cmdbg
radareorg_radare2/CVE-2018-12322_bbb4af56,anal_6502.c,289,_6502_op,anal_6502.c,289,_6502_op,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/gb/plugin.c,725,decode
radareorg_radare2/CVE-2022-28070_4aff1bb0,,,,canal.c,744,__core_anal_fcn,/home/cyf/repo_dataset/radareorg/radare2/libr/core/disasm.c,1542,ds_show_xrefs
radareorg_radare2/CVE-2022-0559_b5cb90b2,io_bank.c,159,r_io_bank_map_add_top,io_bank.c,159,r_io_bank_map_add_top,/home/cyf/repo_dataset/radareorg/radare2/libr/io/io_bank.c,436,_delete_submaps_from_bank_tree
radareorg_radare2/CVE-2022-1714_3ecdbf8e,anal_msp430.c,12,msp430_op,,,,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/ebc/plugin.c,43,decode
radareorg_radare2/CVE-2017-15931_c6d0076c,elf.c,819,store_versioninfo_gnu_verneed,elf.c,819,store_versioninfo_gnu_verneed,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/format/elf/elf.c,1283,_process_verneed_state
radareorg_radare2/CVE-2018-11380_60208765,mach0.c,2290,MACH0_,mach0.c,2296,MACH0_,/home/cyf/repo_dataset/radareorg/radare2/shlr/zip/zip/zip_string.c,173,_zip_string_write
radareorg_radare2/CVE-2017-7946_d1e8ac62,mach0.c,2247,MACH0_,mach0.c,2256,MACH0_,/home/cyf/repo_dataset/radareorg/radare2/shlr/zip/zip/zip_string.c,173,_zip_string_write
radareorg_radare2/OSV-2025-42_44a501ba,bin_bflt.c,120,relocs,bin_bflt.c,120,relocs,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/p/bin_mdmp.c,350,relocs
radareorg_radare2/CVE-2018-20458_30f4c7b5,,,,dyldcache.c,31,r_buf_read_string,/home/cyf/repo_dataset/radareorg/radare2/shlr/zip/zip/zip_buffer.c,116,_zip_buffer_get_8
radareorg_radare2/OSV-2020-357_55ec5cc1,,,,bin_dex.c,1438,parse_class,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/bin.c,1033,r_bin_list_archs
radareorg_radare2/CVE-2022-1237_2d782cda,ne.c,559,__init,ne.c,561,__init,/home/cyf/repo_dataset/radareorg/radare2/libr/core/panels.c,2512,__init
radareorg_radare2/CVE-2022-0849_10517e3f,canal.c,5096,r_core_anal_esil,canal.c,5096,r_core_anal_esil,/home/cyf/repo_dataset/radareorg/radare2/libr/core/anal_tp.c,605,r_core_anal_type_match
radareorg_radare2/CVE-2018-11376_1f37c04f,bin_elf.c,330,process_constructors,bin_elf.c,330,process_constructors,/home/cyf/repo_dataset/radareorg/radare2/libr/fs/fs.c,405,r_fs_find_off_aux
radareorg_radare2/CVE-2018-11383_9d348bcc,cmd_anal.c,4038,cmd_anal_esil,cmd_anal.c,4038,cmd_anal_esil,/home/cyf/repo_dataset/radareorg/radare2/libr/core/cmd_anal.inc.c,9135,cmd_anal_esil
radareorg_radare2/CVE-2017-16357_0b973e28,elf.c,824,store_versioninfo_gnu_verneed,elf.c,824,store_versioninfo_gnu_verneed,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/format/elf/elf.c,1283,_process_verneed_state
radareorg_radare2/CVE-2025-1378_c6c772d2,,,,rasm2.c,579,rasm_asm,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/tms320/c55x_plus/c55plus.c,21,c55x_plus_disassemble
radareorg_radare2/OSV-2018-148_a6a04332,,,,filter.c,6,hashify,/home/cyf/repo_dataset/radareorg/radare2/shlr/java/class.c,1186,r_bin_java_build_obj_key
radareorg_radare2/OSV-2020-523_0e7b3760,,,,bin_omf.c,21,check_buffer,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/dis/dis.c,194,dis_read_link
radareorg_radare2/CVE-2022-4843_842f809d,io_bank.c,756,r_io_bank_read_at,io_bank.c,756,r_io_bank_read_at,/home/cyf/repo_dataset/radareorg/radare2/libr/util/buf_cache.inc.c,133,buf_cache_write
radareorg_radare2/CVE-2022-1207_605785b6,anal_cris.c,240,set_reg_profile,anal_cris.c,252,set_reg_profile,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/vax/vax.c,201,get_reg_profile
radareorg_radare2/CVE-2022-1052_0052500c,mach0.c,3841,MACH0_,mach0.c,3843,MACH0_,/home/cyf/repo_dataset/radareorg/radare2/shlr/grub/include/grub/unicode.h,255,grub_unicode_glyph_from_code
